,flow_mass,flow_mol,temperature,pressure,vapor_frac,"('mole_frac_comp', 'Ar')","('mole_frac_comp', 'CO')","('mole_frac_comp', 'CO2')","('mole_frac_comp', 'H2')","('mole_frac_comp', 'H2O')","('mole_frac_comp', 'N2')","('mole_frac_comp', 'O2')","('mole_frac_comp', 'CH4')","('mole_frac_comp', 'C2H6')","('mole_frac_comp', 'C3H8')","('mole_frac_comp', 'C4H10')"
CPU_translator_in,16.41877996636932,605.4310713029537,310.9,104000.0,,0.0020762551266278384,,0.32671072076429913,,0.6289651687650519,0.006313073287068733,0.03593478205695247,,,,
IC_1_OUT,58.582777877777595,2030.2173357654594,310.93,107974.99999999999,,0.009200000000000002,,0.0003,,0.009900000000000003,0.7732000000000001,0.20740000000000003,,,,
STAGE_1_OUT,58.582777877777595,2030.2173357654594,297.5436844462721,111421.99999999999,,0.009200000000000002,,0.0003,,0.009900000000000003,0.7732000000000001,0.20740000000000003,,,,
STAGE_2_OUT,58.582777877777595,2030.2173357654594,331.6763722502244,130686.0,,0.009200000000000002,,0.0003,,0.009900000000000003,0.7732000000000001,0.20740000000000003,,,,
a00,164.41112357094553,5697.754960729315,288.15,101325.0,,0.0092,,0.0003,,0.0099,0.7732,0.2074,,,,
a01,164.41112357094553,5697.754960729313,296.6631738490188,110000.0,,0.009200000000000002,,0.00030000000000000003,,0.009900000000000003,0.7732000000000001,0.20739999999999997,,,,
a02,164.41112357094556,5697.754960729314,922.7932034284449,110000.0,,0.0092,,0.00030000000000000003,,0.009900000000000003,0.7732000000000001,0.20739999999999997,,,,
a03,164.41112357094556,5697.754960729314,1023.15,110000.0,,0.0092,,0.00030000000000000003,,0.009900000000000003,0.7732000000000001,0.20739999999999997,,,,
ba00,58.58277787777759,2030.2173357654597,288.15,101325.0,,0.0092,,0.0003,,0.0099,0.7732,0.2074,,,,
ba01,58.582777877777595,2030.2173357654594,310.93,127239.0,,0.009200000000000002,,0.0003,,0.009900000000000003,0.7732000000000001,0.20740000000000003,,,,
ba02,13.129182200742514,410.0980141943491,310.93,127239.0,,0.003065192520090635,,1e-20,,1e-20,0.001913888862760901,0.9950209186171485,,,,
ba03,13.129182200742514,410.0980141943491,521.4799020559115,127239.0,,0.003065192520090635,,1e-20,,1e-20,0.001913888862760901,0.9950209186171485,1e-20,1e-20,1e-20,1e-20
bng00,3.2732384075882717,189.82804383732224,330.0,104000.0,,0.0,,0.01,,0.0,0.016,0.0,0.931,0.032,0.007,0.004
bng01,3.2732384075882717,189.82804383732224,521.4799020559115,104000.0,,1e-20,,0.01,,1e-20,0.016,1e-20,0.931,0.032,0.007000000000000001,0.004
bng02,16.402420608330786,599.9260580316713,521.4799020559115,104000.0,,0.002095307161247163,,0.00316419067476647,,1e-20,0.006371003013178508,0.6801773274285537,0.29458615182075837,0.010125410159252706,0.002214933472336529,0.0012656762699065883
cmb_mix_in,13.129182200742514,410.0980141943491,521.4799020559115,127239.0,,0.003065192520090635,,1e-20,,1e-20,0.001913888862760901,0.9950209186171485,,,,
cmb_out,16.41877996636932,605.4310713029537,1500.0,104000.0,,0.0020762551266278384,,0.3267107207642991,,0.6289651687650519,0.006313073287068733,0.03593478205695247,1.439531433348031e-18,1e-20,1.0542585878871422e-19,1e-20
fg01,16.41877996636932,605.4310713029537,1500.0,104000.0,,0.0020762551266278384,,0.3267107207642991,,0.6289651687650519,0.006313073287068733,0.03593478205695247,,,,
fg02,16.41877996636932,605.4310713029537,837.5848257364953,104000.0,,0.002076255126627839,,0.32671072076429913,,0.6289651687650519,0.006313073287068733,0.03593478205695247,,,,
fg03,16.41877996636932,605.4310713029537,405.0,104000.0,,0.0020762551266278384,,0.32671072076429913,,0.6289651687650519,0.006313073287068733,0.03593478205695247,,,,
fg04,16.418688681859603,605.4310713029537,310.9,104000.0,,0.0020762551266278384,,0.32671072076429913,,0.6289651687650519,0.006313073287068733,0.03593478205695247,,,,
h01,6.094377289466851,2603.8519627464034,1023.1276154333034,110000.0,,,,,0.9797102310964657,0.020289768903534247,,,,,,
h02,5.9724897436775155,2551.7749234914763,1023.1276154333034,110000.0,,,,,0.9797102310964657,0.020289768903534244,,,,,,
h03,5.039750000000001,2500.0,298.1504559405569,110000.0,,,,,1.0,,,,,,,
h04,5.039750000000001,2500.0,320.0,110000.0,,,,,1.0,,,,,,,
h05,5.039750000000001,2500.0,948.8247716842336,3999999.9999999995,,,,,1.0,,,,,,,
h06,5.039750000000001,2500.0,320.0,3999999.9999999995,,,,,1.0,,,,,,,
h07,5.039750000000001,2500.0,398.38579134385816,7999999.999999999,,,,,1.0,,,,,,,
h08,5.039750000000001,2500.0,320.0,7999999.999999999,,,,,1.0,,,,,,,
h09,5.039750000000001,2500.0,398.6808819863085,15999999.999999998,,,,,1.0,,,,,,,
h10,5.039750000000001,2500.0,320.0,15999999.999999998,,,,,1.0,,,,,,,
hr01,0.12188754578933715,52.077039254928124,1023.1276154333034,110000.0,,,,,0.9797102310964657,0.020289768903534247,,,,,,
hr02,0.12188754578933715,52.077039254928124,1023.15,110000.0,,,,,0.9797102310964657,0.020289768903534247,,,,,,
o01,204.40865242636755,6947.755960729316,1022.7932034284449,110000.0,,0.00754478930103457,,0.0002460257380772143,,0.008118849356548068,0.6340903356043401,0.35,,,,
o02,204.38821156112485,6947.061185133241,1022.7932034284449,110000.0,,0.00754478930103457,,0.0002460257380772143,,0.00811884935654807,0.6340903356043401,0.35,,,,
o03,204.38821156112485,6947.061185133241,531.4799020559115,110000.0,,0.00754478930103457,,0.0002460257380772143,,0.00811884935654807,0.6340903356043401,0.35,,,,
o04,61.31646346833746,2084.1183555399725,531.4799020559115,110000.0,,0.007544789301034569,,0.0002460257380772143,,0.008118849356548073,0.6340903356043401,0.35,,,,
o05,143.0717480927874,4862.9428295932685,531.4799020559115,110000.0,,0.00754478930103457,,0.0002460257380772144,,0.008118849356548073,0.6340903356043401,0.3500000000000001,,,,
o06,143.0717480927874,4862.9428295932685,514.7022820811563,110000.0,,0.00754478930103457,,0.0002460257380772144,,0.008118849356548073,0.6340903356043401,0.3500000000000001,,,,
o07,61.31646346833746,2084.1183555399725,506.25551465931443,110000.0,,0.007544789301034569,,0.0002460257380772143,,0.008118849356548073,0.6340903356043401,0.35,,,,
out01,45.45359567703509,1620.1193215711107,310.93,127239.0,,0.010752893253896693,,0.0003759384834315764,,0.012405969953242026,0.9684343252386677,0.00803087307076203,,,,
out02,143.0717480927874,4862.9428295932685,405.0,110000.0,,0.00754478930103457,,0.0002460257380772144,,0.008118849356548073,0.6340903356043401,0.3500000000000001,,,,
out03,61.31646346833746,2084.1183555399725,405.0,110000.0,,0.007544789301034569,,0.0002460257380772143,,0.008118849356548073,0.6340903356043401,0.35,,,,
out08,5.039750000000001,2500.0,398.9809012790432,32000000.0,,,,,1.0,,,,,,,
s00,45.97553729740724,2552.0301265041253,288.15000000000003,101325.0,0.0,,,,,,,,,,,
s01,45.97553729740724,2552.0301265041253,288.15045594056005,110000.0,0.0,,,,,,,,,,,
s02,45.97553729740724,2552.0301265041253,375.4455749661482,110000.0,0.3675601479796122,,,,,,,,,,,
s03,45.97553729740724,2552.0301265041253,1023.1500000000001,110000.0,1.0,,,,,,,,,,,
s04,45.97093974367751,2551.7749234914754,1023.1499999999999,110000.0,,,,,1e-20,1.0,,,,,,
s05,46.092827289466854,2603.851962746404,1023.1500000000004,110000.0,,,,,0.01959420462192933,0.9804057953780707,,,,,,
s06,164.4111524263675,5697.755960729313,1023.15,110000.0,,0.0092,,0.0003000000000000001,,0.009900000000000003,0.7732000000000001,0.20740000000000003,,,,
